x,n_terms,best_rank_median,best_rank_min,rep_terms
weight loss,76,86076.5,297,glp1 patches for weight loss | glp1 for weight loss | yerba magic for weight loss
skin,71,103460.0,303,beef tallow for skin | bee venom cream for skin | organic beef tallow for skin
hair growth,71,118172.0,582,rosemary oil for hair growth | batana oil for hair growth | rosemary water spray for hair growth
women summer,69,103917.0,559,2 piece sets for women summer | two piece sets for women summer | red dresses for women summer
planting,69,117132.0,31550,pumpkin seeds for planting | auger drill bit for planting | sunflower seeds for planting
women dressy,69,106820.0,4414,jumpsuits for women dressy | two piece sets for women dressy | rompers for women dressy
dorm,68,113379.5,15759,fan for dorm | mini fridge for dorm | shoe rack for dorm
party,66,95198.5,10247,red carpet runner for party | plastic plates for party | valentines day decorations for party
cool,63,126074.0,11038,cool gifts for men | cool gifts | cool gifts for adult sister
family,63,85837.0,566,matching christmas pajamas for family | christmas pajamas for family | family gifts
wife,62,78570.0,750,mothers day gifts for wife | gifts for wife | stocking stuffers for wife
teachers,61,86698.0,11,school outfits for teachers | tops for teachers | gifts for teachers
older women,61,111948.0,890,laura geller makeup for older women | gifts for older women | prime prometics mascara for older women
yard,61,83133.0,994,sprinklers for yard | snake repellent for yard | outdoor solar lights for yard
fridge,61,88059.0,3835,egg holder for fridge | fruit storage containers for fridge | water filter for fridge
women set,61,98655.0,327,pajamas for women set | scrubs for women set | flannel pajamas for women set
closet,60,118593.0,1345,shoe rack for closet | shoe organizer for closet | dresser for closet
indoor use,60,60913.5,120,space heaters for indoor use | heaters for indoor use | electric heaters for indoor use
black women,60,89490.0,4043,crochet hair for black women | wigs for black women | human hair wigs for black women
valentine,60,83423.5,4468,teacher valentine gift | valentine gifts for kids | valentine gifts
beginners,59,111605.0,1447,crochet kit for beginners | embroidery kit for beginners | sewing machine for beginners
toddler girls,59,116952.0,9260,easter dresses for toddler girls | halloween costumes for toddler girls | gifts for toddler girls
office,58,81526.0,11872,office gifts | scissors for office | mini fridge for office
laptop,58,117651.5,2040,mouse for laptop | portable monitor for laptop | usb hub for laptop
gifts,57,90209.0,897,christmas bags for gifts | christmas tags for gifts | christmas boxes for gifts
patio,57,93536.0,911,outdoor heaters for patio | outdoor lights for patio | outdoor umbrellas for patio
women trendy,56,80257.5,2414,tops for women trendy | jeans for women trendy | sweaters for women trendy
halloween,55,90640.0,507,skeletons for halloween | halloween gifts | halloween gifts for kids
indoor cats,55,96813.0,642,cat toys for indoor cats | cat beds for indoor cats | cat brushes for indoor cats
appreciation,54,67633.0,49,teacher appreciation gifts | nurse appreciation gifts | teacher appreciation gifts in bulk
husband,53,59985.0,273,fathers day gifts for husband | gifts for husband | husband gifts
curvy women,53,84743.0,1137,plus size dresses for curvy women | plus size lingerie for curvy women | plus size rompers for curvy women
teacher,53,94966.0,658,teacher gifts | teacher gifts for women | teacher gift
women sexy,51,94217.0,1713,lingerie sets for women sexy | valentines lingerie for women sexy | heels for women sexy
wedding,51,107230.0,4962,wedding gifts | wedding gifts for couples 2025 | wedding gift
bride,51,79554.0,3812,wedding dresses for bride | bride gifts | wedding shoes for bride
pc,51,113821.0,4925,webcam for pc | microphone for pc | bluetooth adapter for pc
outdoor plants,50,99576.0,3113,planters for outdoor plants | hanging planters for outdoor plants | tall planters for outdoor plants
curly hair,49,99456.0,5202,leave in conditioner for curly hair | mousse for curly hair | brush for curly hair
couch,48,80215.0,4730,throw pillows for couch | decorative pillows for couch | throw blanket for couch
dog,48,114452.0,3977,dog gifts | melatonin for dog | calming diffuser for dog
cleaning,48,96309.0,3035,spray bottles for cleaning | steamer for cleaning | dusters for cleaning
indoor plants,47,110824.0,1094,grow lights for indoor plants | hanging planters for indoor plants | self watering pots for indoor plants
tv,47,103084.0,4574,surround sound system for tv | dvd players for tv | enter code for tv
teen boys,47,84783.0,499,stocking stuffers for teen boys | gifts for teen boys | advent calendar for teen boys
house,45,137062.0,890,no soliciting sign for house | thermostat for house | permanent outdoor lights for house
best,45,130236.0,7992,best gifts for women 2025 | best gifts for men | best gifts for teen girls
feet,44,51550.5,566,neuropathy pain relief for feet | pumice stone for feet | callus remover for feet
coffee,44,88624.0,6465,frother for coffee | coffee gifts | vanilla syrup for coffee
garden,44,110535.0,7527,olive garden gift card | shade cloth for garden | irrigation system for garden
home use,43,99536.0,767,blood pressure monitors for home use | generators for home use | printers for home use
table,43,128425.0,11683,christmas runner for table | purse hook for table | thanksgiving decorations for table
humans,42,103836.5,296,methylene blue for humans | methane blue for humans | parasite cleanse for humans
kids classroom,42,64948.5,640,valentines cards for kids classroom | valentines day gifts for kids classroom | valentine cards for kids classroom
sleep,41,96614.0,299,magnesium lotion for sleep | eye masks for sleep | teeth grinding mouth guard for sleep
lawn,40,104967.0,1012,grass seeds for lawn | clover seeds for lawn | water sprinkler for lawn
daughter,40,92840.5,2042,mothers day gifts for daughter | valentines day gifts for daughter | daughter gifts from mom
toddler,40,124986.0,2669,easter basket stuffers for toddler | toddler gifts | travel potty seat for toddler
tree,40,83134.0,4786,christmas lights for tree | ornaments for tree | christmas decorations for tree
cash,40,93466.5,5304,money envelopes for cash | christmas money holders for cash | money puzzle box for cash gift
s,39,108700.0,6391,men valentine's gifts | men's gifts | women's gifts
small spaces,39,129004.0,28689,small couches for small spaces | small side table for small spaces | small treadmills for small spaces
lawns,38,92121.5,6172,rakes for lawns | crabgrass killer for lawns | dandelion killer for lawns
womens,38,69367.0,1879,womens gifts | body suits for womens | sweat pants for womens
coworkers,38,77294.5,3100,gifts for coworkers | bulk gifts for coworkers | christmas gifts for coworkers
painting,38,117139.0,2671,canvas for painting | rocks for painting | easel for painting
jewelry making,38,117730.0,6866,beads for jewelry making | charms for jewelry making | glass beads for jewelry making
women winter,38,110797.5,4668,leg warmers for women winter | earmuffs for women winter | scarf for women winter
body,38,97485.5,1597,red light therapy for body | scrubbies for body | dark spot remover for body
anniversary,37,118730.0,3387,anniversary gifts for men | anniversary gifts for women | anniversary gift for couple
entryway,37,111037.0,1926,shoe rack for entryway | shoe cabinet storage for entryway | rugs for entryway
class,37,123046.0,12975,valentines for class | lego valentines for class | toddler valentines day gifts for class
mens,37,61125.0,124,mens gifts | mens gifts ideas | sweat pants for mens
room,36,111651.0,19654,flags for room | air cooler for room | led lights for room
students,36,97062.0,6571,scientific calculators for students | back to school gifts for students | class christmas gifts for students
tables,35,101861.0,2279,fly fans for tables | christmas centerpieces for tables | centerpieces for tables
elderly,35,135370.0,587,best selling items for elderly | bestselling items for elderly | mobility aids for elderly
grandma,35,90554.0,666,grandma gifts | gifts for grandma | mothers day gifts for grandma
truck,34,121852.0,29969,backup camera for truck | train horn for truck | bow buddy bow hanger for truck
storage,34,127097.0,7271,tree bags for storage | totes for storage | desiccant packs for storage
hunting,34,107395.5,4727,binoculars for hunting | range finder for hunting | hunting gifts for men
refrigerator,34,108999.0,8851,magnetic calendar for refrigerator | magnetic spice rack for refrigerator | egg organizer for refrigerator
boyfriend,33,83655.0,1615,gifts for boyfriend | boyfriend gifts | christmas gifts for boyfriend
backyard,33,83910.0,2344,swing sets for backyard | volleyball net for backyard | kids pools for backyard
cabinets,33,107236.0,7412,mini wreaths for cabinets | pull out drawers for cabinets | christmas bows for cabinets
door,33,112654.0,24296,magnetic curtain rod for door | child locks for door | shoe rack for door
porch,33,117630.0,21054,outdoor pumpkins for porch | outdoor christmas trees for porch | pumpkins for porch
gardening,32,65421.5,7371,gardening gifts for women | gardening gifts | raised beds for gardening
women formal,32,97879.5,15456,evening gowns for women formal | ball gowns for women formal | long dresses for women formal
sale,32,130070.0,3767,house for sale | tiny homes for sale | unclaimed packages for sale
drinks,32,100591.5,3727,edible glitter for drinks | blood bags for drinks | coasters for drinks
gag,31,75993.0,714,gag gifts | gag gifts funny adult | gag gifts for men
