x,n_terms,best_rank_median,best_rank_min,rep_terms
dry skin,14,102755.0,16960,body lotion for dry skin | hand lotion for dry skin | lotion for dry skin
girls bedroom,14,150421.0,43259,white dresser for girls bedroom | curtains for girls bedroom | pink dresser for girls bedroom
washing machine,14,110806.5,38326,shoe bag for washing machine | lint catcher for washing machine | anti vibration pads for washing machine
home decor,14,136314.5,49360,decorative books for home decor | bowl fillers for home decor | ceramic vases for home decor
coolest,14,105585.0,25644,coolest gifts for 13 year old boys | coolest gifts for 3 year old girl | coolest gift for 6 year old girl
boat,14,138585.0,61810,fire extinguisher for boat | american flag for boat | fishing rod holders for boat
bathroom sink,13,105775.0,20452,mirrors for bathroom sink | faucet for bathroom sink | drano for bathroom sink
sneakers,13,130353.0,9592,shoe laces for sneakers | shoe charms for sneakers | shoelaces for sneakers
starbucks,13,111254.0,220,starbucks gift cards | starbucks gift card | starbucks gift cards physical
mom from,13,112431.0,25334,gifts for mom from daughter | mothers day gifts for mom from son | mothers day gifts for mom from daughter
marijuana,13,58194.0,6682,grinder for marijuana | stash boxes for marijuana | smell proof bags for marijuana
kindle,13,97168.0,12681,kindle gift card | pop socket for kindle | kindle gift card for kindle books
hp printers,13,102846.0,8977,ink cartridges for hp printers | 910xl ink cartridges for hp printers | 902xl ink cartridges for hp printers
boats,13,121325.0,14170,bimini tops for boats | bilge pumps for boats | fish finders & depth finders for boats
luggage,13,75626.0,10473,tsa locks for luggage | suitcase covers for luggage | travel vacuum bags for luggage
baby girls,13,126024.0,29464,bows for baby girls | easter dresses for baby girls | baptism dresses for baby girls
gaming,13,99496.0,31957,iems for gaming | pc controllers for gaming | gaming gifts
aquarium,13,71167.0,13622,heater for aquarium | heaters for aquarium | driftwood for aquarium
wrinkles,13,98132.0,36244,b glossy body serum for wrinkles | calcium stick for wrinkles | eye cream for wrinkles
college students,13,100881.0,28191,electronics for college students | gifts for college students | moving bags for college students
computer,13,140733.0,35741,camera for computer | air can duster for computer | ring light for computer
neck,13,85722.0,32706,heating pad for neck | cooling rags for neck | ice ring for neck
whiteboard,13,106573.0,12491,magnets for whiteboard | magnetic marker holder for whiteboard | magnetic book shelf for whiteboard
return,13,143027.0,28850,return gifts for pooja | return gifts for birthday party | diwali return gifts
fine hair,13,133820.0,17010,john frieda ultra filler for fine hair | leave in conditioner for fine hair | hair volumizer for fine hair
eating,13,85307.0,31625,bed trays for eating | baby bibs for eating | tv trays for eating
nursery,13,114966.0,16101,egg light for nursery | dresser for nursery | baby humidifiers for nursery
night,13,129833.0,15376,movie night gift basket | senior night gifts | lighted dog collars for night
vanity,13,114877.0,14194,make up organizers for vanity | makeup organizer for vanity | chair for vanity
christmas lights,13,143498.0,77488,gutter clips for christmas lights | timer for christmas lights | command hooks for christmas lights
wine,13,64442.0,13407,wine gifts | wine gift bag | wine gifts for women
football,13,102206.0,21331,football gifts | kids mouth guard for football | football gifts for boys 8-12
tub,13,61572.0,4939,bath pillows for tub | bath mat for tub | bath tray for tub
women gift,13,105222.0,3724,bath sets for women gift | cozy blankets for women gift | candle sets for women gift
outdoor furniture,13,41762.0,9015,cushions for outdoor furniture | patio cushions for outdoor furniture | bench cushions for outdoor furniture
pregnant women,13,68511.0,2004,morning sickness relief for pregnant women | nausea relief for pregnant women | belly bands for pregnant women
glass windows,13,78954.0,23033,privacy film for glass windows | window clings for glass windows | christmas window clings for glass windows
thanksgiving,13,69579.0,11764,thanksgiving gifts | turkey platter for thanksgiving | thanksgiving gift
inside,13,68627.0,12429,rv accessories for inside | rat poisoning for inside | camper accessories for inside
climbing plants,13,120429.0,11705,garden trellis for climbing plants | plant clips for climbing plants | moss poles for climbing plants
nail art,13,59481.0,8061,nail stickers for nail art | nail brushes for nail art | nail pens for nail art
guys,13,92485.0,1890,dorm essentials for guys | college dorm essentials for guys | dorm room essentials for guys
counter,13,158471.0,30061,kcup holder for counter | 3 tier fruit basket for counter | make up organizers for counter
vase,13,114642.0,47075,dried flowers for vase | floral grid for vase | faux flowers for vase
ears,12,138130.0,33976,gauges for ears | cotton swabs for ears | sweet oil for ears
people with,12,12649.0,800,gifts for people with dementia | gifts for people with anxiety | gifts for people with cancer
children,12,86695.5,35846,medicine syringes for children | parasite cleanse for children | richard scarry books for children
dishes,12,92844.0,14684,sponges for dishes | kitchen brushes for dishes | silicone sponges for dishes
makeup,12,69316.0,4724,setting spray for makeup | makeup gift set | makeup gift set for women
inground pool,12,48342.0,10951,pool lights for inground pool | pool shock for inground pool | pool slide for inground pool
book lovers,12,57312.5,8364,gifts for book lovers | gifts for book lovers women | book journal for book lovers
sympathy,12,125305.0,12975,sympathy gifts for loss of loved one | sympathy gift baskets | sympathy gift
women denim,12,124602.5,9051,jean skirts for women denim | jean romper for women denim | jean shirts for women denim
diffuser,12,109846.0,16454,essential oils for diffuser | oil for diffuser | essential oil for diffuser
cookies,12,132128.5,41141,christmas sprinkles for cookies | sprinkles for cookies | easter sprinkles for cookies
dresses,12,141812.5,31371,womens tights for dresses | under shorts for dresses | garment bags for dresses
grandparents,12,45496.0,4718,gifts for grandparents | grandparents gifts | cool presents for grandparents
candy,12,68058.5,6815,halloween bags for candy | halloween bowls for candy | candy gift basket
guests,12,109937.0,33696,wedding favors for guests | baby shower favors for guests | graduation party favors for guests
back pain,12,92190.0,37768,inversion tables for back pain | back roller foam for back pain | massager for back pain
baby shower,12,107852.5,15230,maternity dress for baby shower | baby boxes with letters for baby shower | baby blocks for baby shower
women face,12,124119.0,1318,dermaplane razor for women face | tinkle razors for women face | sonic smooth dermaplane for women face
jeans,12,99170.0,13115,womens belts for jeans | button extenders for jeans | iron on patches for jeans
leggings,12,137629.5,44919,tunic sweaters for women for leggings | womens tunic tops for leggings | long shirts for women for leggings
sink,12,96753.5,25007,water diverter for sink | water absorbing stone tray for sink | water filter for sink
lake,12,106555.5,54959,floating mat for lake | rafts for lake | water trampoline for lake
kids outdoor,12,102173.0,19030,mud kitchen for kids outdoor | playhouse for kids outdoor | tree swings for kids outdoor
jewelry,12,113912.5,18185,jewelry gift box | jewelry gift boxes | small jewelry gift box
backpacks,12,101406.5,12561,pins for backpacks | patches for backpacks | keychains for backpacks
outdoor,12,118091.0,3883,shepherds hooks for outdoor | outdoor gifts for men | outdoor gifts
drawer,12,71408.5,18570,silverware tray for drawer | spice organization for drawer | makeup organizer for drawer
long nails,12,145360.5,75316,keyboard for long nails | tippy type keyboard cover for long nails | keyboard cover for long nails
spa,12,55138.0,5858,spa gifts for women | bath spa gifts for women | spa gift baskets
dark spots,12,87598.0,4549,turmeric soap for dark spots | remedy for dark spots | hydroquinone cream for dark spots
fathers day,12,88994.0,14654,dad gifts for fathers day | dad shirts for fathers day | gifts for fathers day
home office,12,89166.0,7653,desk lamps for home office | file cabinets for home office | filing cabinets for home office
indoors,12,63122.5,626,fruit fly traps for indoors | fly swatter for indoors | battery operated heaters for indoors
personalized,12,88691.5,2547,personalized gifts for women | personalized gifts | personalized gifts for men
dad from,11,89124.0,11063,gifts for dad from daughter | fathers day gifts for dad from daughter | gifts for dad from son
vegetables,11,125329.0,46037,potting soil for vegetables | garden soil for vegetables | garden shade cloth for vegetables
women petite,11,95517.0,41153,jumpsuits for women petite | palazzo pants for women petite | jeans for women petite
apple watch,11,163509.0,59875,gold watch band for apple watch | christmas watch band for apple watch | magnetic charging cable for apple watch
chicken coop,11,101898.0,16041,nesting pads for chicken coop | solar fan for chicken coop | lime for chicken coop
airplanes,11,98306.0,9776,travel pillows for airplanes | travel neck pillows for airplanes | carry on backpack for airplanes
lovers,11,99274.0,3820,book lovers gifts | dog lovers gifts for women | smutty book lovers gifts
christian,11,72899.0,1404,christian gifts for women | christian gifts | christian gifts for men
water,11,141646.0,83222,ph meter for water | cooper cups for water | drill pump for water
dogs large,11,83840.0,2734,muddy mats for dogs large | pupsicles for dogs large | elk antlers for dogs large
hot weather,11,136467.0,15453,cooling towels for hot weather | neck coolers for hot weather | cold towels for hot weather
homemade bread,11,47139.0,4269,bread bags for homemade bread | bread slicer for homemade bread | bread pans for homemade bread
pain,11,103472.0,14798,arthritis gloves for women for pain | epsom salts for soaking for pain | magnesium cream for pain
sleep apnea,11,144151.0,6993,wedge pillow for sleep apnea | derila pillow for sleep apnea | derila ergo pillow for sleep apnea
boots,11,82854.0,37828,ice cleats for boots | shoe laces for boots | leg warmers for boots
drinking,11,93178.0,14247,cat fountains for drinking | copper cups for drinking | copper cups 100 pure copper for drinking
home security,11,70708.0,981,cameras for home security | wireless cameras for home security | window cameras for home security
year,11,67123.0,14864,end of the year gifts for students bulk | chinese new year gifts | end of school year gifts for kids bulk
pantry,11,133414.0,10574,can organizer for pantry | wire rack covers for pantry | wire shelf covers for pantry
video recording,11,60501.0,35708,phone holder for video recording | iphone microphone for video recording | light for video recording
gym,11,77767.0,32226,gym gifts for men | cable attachments for gym | gym gifts
window,11,70595.0,21946,black out shade for window | black out blinds for window | cat hammock for window
business,11,111101.0,50065,open signs for business | vending machines for business | gift certificates for business
cards,11,72687.0,5429,top loaders for cards | christmas stickers for cards | pokemon binders for cards
plants indoor,11,131006.0,15453,moss for plants indoor | perlite for plants indoor | hanging pots for plants indoor
women gold,11,84454.0,41354,cross necklace for women gold | waterproof jewelry for women gold | earrings for women gold
grooming,11,92879.0,7635,dog clippers for grooming | dog trimmer for grooming | dog scissors for grooming
dorm room,11,117575.0,6693,air purifier for dorm room | small vacuum for dorm room | fan for dorm room
driveway,11,92637.0,2694,snow shovel for driveway | deicer for driveway | curb ramps for driveway
toiletries,11,101468.0,7919,travel bottles for toiletries | travel containers for toiletries | travel bag for toiletries
bike,11,94545.0,8180,phone holder for bike | water bottle holder for bike | phone mount for bike
coach,11,98952.0,53615,basketball coach gifts | baseball coach gifts | football coach gifts
apple,11,57887.0,697,apple gift cards email delivery | apple gift card | apple gift card (email delivery)
hanging clothes,11,74931.0,6274,garment bags for hanging clothes | clothing racks for hanging clothes | clothes racks for hanging clothes
tea,11,79025.0,6983,tea gift set | tea gifts | honey sticks for tea
shooting,11,122291.0,47001,steel targets for shooting | walker ear protection for shooting | eye protection for shooting
running,11,108471.0,27538,phone holder for running | arm band for phone for running | running gifts
stove top,11,80601.0,9962,spoon rest for stove top | griddle pan for stove top | double boilers for stove top
aunt,11,58938.0,5638,aunt gifts | gifts for aunt | mothers day gifts for aunt
useful,11,141826.0,20508,useful gifts | useful gifts for women | useful gifts for men
plastic,11,141140.0,42191,plastic gift bags | super glue for plastic | spray paint for plastic
dresser,11,130815.0,21933,changing pad for dresser | drawer liners for dresser | gold knobs for dresser
meat,11,88582.0,35309,electric carving knife for meat | carving knife for meat | food injector for meat
men work,11,121110.0,66563,lunch cooler for men work | steel toe shoes for men work | milwaukee pants for men work
mini,11,123432.0,15267,mini gift bags | mini gifts | mini gifts for women
cell phone,10,95373.0,5172,screen magnifier for cell phone | emf blocker for cell phone | tripod for cell phone
love,10,147950.0,32855,the hunt for love | in the mood for love | 90 day: hunt for love
passover,10,59298.0,13979,matzah for passover | seder plates for passover | haggadah for passover
doors,10,158100.5,3547,alien draft seal tape for doors | weatherstripping for doors | child safety locks for doors
rectangle tables,10,81052.0,28142,white tablecloths for rectangle tables | plastic tablecloths for rectangle tables | cloth tablecloths for rectangle tables
stroller,10,149604.0,15556,fan for stroller | portable fan for stroller | mosquito net for stroller
office chair,10,84604.0,12142,lumbar support pillow for office chair | back support for office chair | floor mat for office chair
women travel,10,87781.0,11245,crossbody bags for women travel | baggallini crossbody bags for women travel | weekender bags for women travel
small business,10,114202.0,30331,label printer for small business | bags for small business | plastic bags for small business
turkey,10,135127.0,20622,brining bags for turkey | brine bags for turkey | cheese cloth for turkey
sourdough,10,127623.0,8958,weck jars for sourdough | beeswax bread bags for sourdough | sourdough gifts
baseball,10,121098.5,7217,baseball gifts | baseball gifts for boys 8-12 | baseball gifts for boys
moms,10,90372.0,1951,best selling items for moms | gifts for moms | fall sports must haves for moms
hiking,10,66991.5,30210,bear spray for hiking | trekking poles for hiking | walking sticks for hiking
women office,10,99375.0,33875,work outfits for women office | desk decorations for women office | work sweaters for women office
diwali,10,66749.5,5896,diwali gifts | diyas for diwali | diwali gifts for friends
nuts,10,149528.0,7198,nuts gift basket | nuts gift | nuts gift box
boating,10,99553.5,26393,tubes for boating | towable tubes for boating | dog life vests for boating
men waterproof,10,81415.0,24628,rain suits for men waterproof | rain gear for men waterproof | golf rain gear for men waterproof
braiding,10,75218.5,4752,deep wave bulk human hair for braiding | boho hair for braiding | boho human hair for braiding
kids room,10,138741.5,74172,rug for kids room | name signs for kids room | nightlight for kids room
outdoor planters,10,106567.5,4629,faux flowers for outdoor planters | faux mums for outdoor planters | faux fall flowers for outdoor planters
cruise,10,106330.0,36574,sea sickness patches for cruise | seasickness patches for cruise | carnival cruise gift card
id badges,10,83120.5,1035,lanyards for id badges | breakaway lanyards for id badges | retractable lanyards for id badges
gel nails,10,118931.5,4815,uv light for gel nails | crome powder for gel nails | led nail light for gel nails
anxiety,10,105775.5,51524,weighted highland cow for anxiety | weighted blanket for anxiety | weighted stuffed animals for anxiety
birds,10,88348.5,26254,sunflower seeds for birds | mealworms for birds | black oil sunflower seeds for birds
cancer,10,85512.5,25574,soursop oil organic for cancer | breast cancer gifts for woman | essiac tea organic for cancer
the,10,104095.5,17571,the gift | the girl with all the gifts | the gift of fear
plants outdoor,10,125697.0,7875,hanging baskets for plants outdoor | hanging pots for plants outdoor | large pots for plants outdoor
quilting,10,137996.0,31926,batting for quilting | best press spray starch for quilting | aurifil 50 wt cotton thread for quilting
coworker,10,53757.5,4157,coworker gifts | coworker gifts for women | funny coworker gifts
vehicle,10,98283.0,7989,car heaters for vehicle | fire extinguisher for vehicle | portable car heaters for vehicle
runners,10,108401.0,23049,running lights for runners | gifts for runners | salt tablets for runners
men pack,10,47609.0,2724,underwear for men pack | boxer briefs for men pack | undershirts for men pack
prom,10,134023.0,32478,silver heels for prom | gold heels for prom | gold jewelry for prom
uncle,10,108704.5,7491,uncle gifts | gifts for uncle | best uncle gifts
inflatables,10,56482.5,2874,air pump for inflatables | electric pump for inflatables | pump for inflatables
outside patio,10,59264.0,3173,misters for outside patio | gas fire pits for outside patio | bird deterrents for outside patio
backpack,10,146332.0,60919,small umbrella for backpack | keychain for backpack | mini umbrella for backpack
locker,10,101427.5,5383,combination lock for locker | lock for locker | mirror for locker
drill,10,93121.0,37275,wire brush for drill | wire stripper for drill | wire twister tool for drill
doorways,10,98276.0,7331,baby gates for doorways | dog gates for doorways | beaded curtains for doorways
law,10,27830.0,5387,mother in law gifts | sister in law gifts | daughter in law gifts
easter eggs,10,112186.0,7554,candy for easter eggs | mini glow sticks for easter eggs | stickers for easter eggs
ashes,10,100135.0,19290,urn necklaces for ashes | cremation jewelry for ashes | dog urns for ashes
memorial,10,65122.5,1002,dog memorial gifts for loss of dog | pet memorial gifts for dogs | memorial gifts
hands,10,138672.5,57007,henna stencils for hands | paraffin wax for hands | wet wipes for hands
outdoor use,10,68765.5,603,patio heaters for outdoor use | rat poisoning for outdoor use | moth balls for outdoor use
my car,10,36603.5,6772,air filter for my car | wiper blades for my car | cabin air filter for my car
nurse,10,131749.0,3751,nurse gifts | nurse gifts for women | nurse gift
