commemorated_token,n_terms,best_rank_median,best_rank_min,rep_terms
flowers,2,79542.0,29263,memorial day flowers for cemetery | memorial day flowers
graduation,2,140631.5,126153,graduation memorial tassel charm | memorial tassel for graduation 2025
urns,2,105516.5,41563,small urns for human ashes keepsake | keepsake urns for human ashes
marine,2,100808.0,41550,marine corps 250th anniversary | marine corps 250th anniversary hat
human,2,105516.5,41563,small urns for human ashes keepsake | keepsake urns for human ashes
corps,2,100808.0,41550,marine corps 250th anniversary | marine corps 250th anniversary hat
were,2,48267.0,46053,wish you were here 50th anniversary | pink floyd wish you were here 50th anniversary
chimes,2,102233.0,38832,memorial wind chimes | memorial wind chimes for loss of loved one
wind,2,102233.0,38832,memorial wind chimes | memorial wind chimes for loss of loved one
flag,2,66085.5,40838,memorial day garden flag | memorial day flag
plates,2,176000.5,171509,memorial day plates and napkins | memorial day plates
loved,2,156278.0,146922,memorial ornaments for loss of loved one | memorial wind chimes for loss of loved one
sales,2,61880.0,28716,memorial day sales 2025 | memorial day sales
napkins,2,184199.0,171509,memorial day plates and napkins | memorial day napkins
collection,2,79299.5,39838,hurricane katrina commemorative collection | polly pocket keepsake collection
banner,2,103874.5,76125,happy anniversary banner | memorial day banner
cat,2,100936.0,66093,cat memorial gifts for loss of cat | cat memorial
merch,2,68278.5,26618,sleep token merch | survivor merch
wish,2,48267.0,46053,wish you were here 50th anniversary | pink floyd wish you were here 50th anniversary
accessories,2,159357.5,125516,princess medallion holder accessories | princess medallion accessories
here,2,48267.0,46053,wish you were here 50th anniversary | pink floyd wish you were here 50th anniversary
you,2,48267.0,46053,wish you were here 50th anniversary | pink floyd wish you were here 50th anniversary
twilight,2,74268.0,44634,twilight 20th anniversary | twilight 20th anniversary edition
pocket,2,153739.0,118761,polly pocket keepsake collection | pocket hug token
japan,2,123710.0,69616,star wars celebration japan | star wars celebration japan 2025
fire,1,81661.0,81661,a tribute of fire
a,1,81661.0,81661,a tribute of fire
2,1,172634.0,172634,2 year anniversary gifts for him
made,1,105840.0,105840,250th anniversary hat made in usa
10,1,113288.0,113288,10 year anniversary gifts for him
war,1,194648.0,194648,god of war 20th anniversary
funeral,1,138834.0,138834,funeral guest book for memorial service
five,1,27379.0,27379,five days at memorial
de,1,112052.0,112052,club de nuit milestone
club,1,112052.0,112052,club de nuit milestone
cma,1,3249.0,3249,cma award
couples,1,118321.0,118321,cool anniversary gifts for couples
designated,1,28122.0,28122,designated survivor
claymation,1,68940.0,68940,claymation christmas celebration
nuit,1,112052.0,112052,club de nuit milestone
bet,1,120074.0,120074,bet award
ceiling,1,41652.0,41652,ceiling medallion
by,1,81771.0,81771,celebration of discipline by richard foster
richard,1,81771.0,81771,celebration of discipline by richard foster
foster,1,81771.0,81771,celebration of discipline by richard foster
discipline,1,81771.0,81771,celebration of discipline by richard foster
future,1,30384.0,30384,back to the future 40th anniversary
badass,1,194038.0,194038,badass affirmation cards
duets,1,194776.0,194776,andrea bocelli duets 30th anniversary cd
andrea,1,194776.0,194776,andrea bocelli duets 30th anniversary cd
amy,1,62571.0,62571,amy award
music,1,38942.0,38942,american music award
wall,1,146079.0,146079,affirmation wall decor
america,1,107885.0,107885,america 250th anniversary hat
classroom,1,59070.0,59070,affirmation station classroom
toys,1,162570.0,162570,award winning 1 year old toys
certificates,1,125284.0,125284,award certificates
rings,1,179820.0,179820,anniversary rings for women
army,1,177535.0,177535,army 250th anniversary shirt
ribbons,1,160503.0,160503,award ribbons
movies,1,191465.0,191465,award winning movies
back,1,30384.0,30384,back to the future 40th anniversary
station,1,59070.0,59070,affirmation station classroom
dress,1,175132.0,175132,anniversary dress for women
bocelli,1,194776.0,194776,andrea bocelli duets 30th anniversary cd
1st,1,154617.0,154617,1st year anniversary gift ideas
in,1,105840.0,105840,250th anniversary hat made in usa
idea,1,153167.0,153167,50th anniversary gift idea
boyfriend,1,83655.0,83655,1 year anniversary gifts for boyfriend
girlfriend,1,161719.0,161719,1 year anniversary gifts for girlfriend
4k,1,120742.0,120742,jaws 50th anniversary 4k
merchandise,1,5665.0,5665,jaws 50th anniversary merchandise
garden,1,40838.0,40838,memorial day garden flag
outdoor,1,57250.0,57250,memorial day decorations outdoor
flags,1,192349.0,192349,memorial day flags
candle,1,180127.0,180127,memorial candle
grave,1,171939.0,171939,memorial day decorations for grave
trunk,1,95932.0,95932,keepsake trunk
line,1,194065.0,194065,medallion holders for princess cruise line
lone,1,7197.0,7197,lone survivor
urn,1,158834.0,158834,keepsake urn
jedi,1,172588.0,172588,jedi survivor ps5
boxes,1,113926.0,113926,keepsake boxes with lids
with,1,113926.0,113926,keepsake boxes with lids
lids,1,113926.0,113926,keepsake boxes with lids
charm,1,126153.0,126153,graduation memorial tassel charm
katrina,1,39838.0,39838,hurricane katrina commemorative collection
hurricane,1,39838.0,39838,hurricane katrina commemorative collection
hello,1,126742.0,126742,hello kitty 50th anniversary
kitty,1,126742.0,126742,hello kitty 50th anniversary
balloons,1,169214.0,169214,happy anniversary balloons
power,1,80992.0,80992,hallmark keepsake power cord
cord,1,80992.0,80992,hallmark keepsake power cord
god,1,194648.0,194648,god of war 20th anniversary
plaques,1,135370.0,135370,memorial plaques for outdoors
outdoors,1,135370.0,135370,memorial plaques for outdoors
necklace,1,169437.0,169437,memorial necklace
lantern,1,151967.0,151967,memorial lantern
window,1,185764.0,185764,memorial day window clings
wreath,1,98494.0,98494,memorial day wreath
geraldine,1,28530.0,28530,memorial days geraldine brooks
brooks,1,28530.0,28530,memorial days geraldine brooks
clings,1,185764.0,185764,memorial day window clings
tablecloth,1,128782.0,128782,memorial day tablecloth
swimsuit,1,185414.0,185414,memorial day swimsuit women
cemetery,1,29263.0,29263,memorial day flowers for cemetery
outfit,1,16869.0,16869,memorial day outfit women
and,1,171509.0,171509,memorial day plates and napkins
playlist,1,22789.0,22789,memorial day playlist
sale,1,17975.0,17975,memorial day sale
holders,1,194065.0,194065,medallion holders for princess cruise line
pink,1,50481.0,50481,pink floyd wish you were here 50th anniversary
fur,1,198411.0,198411,pet fur keepsake
dogs,1,1787.0,1787,pet memorial gifts for dogs
wooden,1,159975.0,159975,milestone wooden circles
hug,1,188717.0,188717,pocket hug token
positive,1,119066.0,119066,positive affirmation stickers
floyd,1,50481.0,50481,pink floyd wish you were here 50th anniversary
polly,1,118761.0,118761,polly pocket keepsake collection
peanuts,1,173782.0,173782,peanuts 75th anniversary
circles,1,159975.0,159975,milestone wooden circles
nana,1,187132.0,187132,nana 25th anniversary edition
75th,1,173782.0,173782,peanuts 75th anniversary
mens,1,182114.0,182114,mens anniversary gift for husband
girl,1,72390.0,72390,milestone blanket for baby girl
boy,1,88001.0,88001,milestone blanket for baby boy
mask,1,171753.0,171753,sleep token mask
hoodie,1,60261.0,60261,sleep token hoodie
10th,1,62899.0,62899,sharknado 10th anniversary
sharknado,1,62899.0,62899,sharknado 10th anniversary
bridge,1,118446.0,118446,rainbow bridge dog memorial gifts
rainbow,1,118446.0,118446,rainbow bridge dog memorial gifts
pro,1,175076.0,175076,ps5 pro 30th anniversary edition
soul,1,185636.0,185636,soul survivor
49,1,26126.0,26126,survivor 49
board,1,66164.0,66164,survivor board game
buff,1,60931.0,60931,survivor buff
daughter,1,116314.0,116314,teenage daughter survivor shirt
teenage,1,116314.0,116314,teenage daughter survivor shirt
ten,1,189978.0,189978,ten year anniversary gifts
48,1,45719.0,45719,survivor 48
vinyl,1,29121.0,29121,sleep token vinyl
matthew,1,171315.0,171315,the award matthew pearl
pearl,1,171315.0,171315,the award matthew pearl
liane,1,130407.0,130407,the last anniversary liane moriarty
moriarty,1,130407.0,130407,the last anniversary liane moriarty
snl,1,102340.0,102340,the snl 40th anniversary special
special,1,102340.0,102340,the snl 40th anniversary special
wants,1,108496.0,108496,the survivor wants to die at the end
series,1,183333.0,183333,the last anniversary series
end,1,108496.0,108496,the survivor wants to die at the end
die,1,108496.0,108496,the survivor wants to die at the end
trophy,1,47462.0,47462,trophy award
states,1,125075.0,125075,united states 250th anniversary hat
united,1,125075.0,125075,united states 250th anniversary hat
usmc,1,66241.0,66241,usmc 250th anniversary
veteran,1,175858.0,175858,veteran tribute glass
glass,1,175858.0,175858,veteran tribute glass
