term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,seeds,themes
faith over fear hoodie,16186.0,163046.0,56510.0,12,2025-01,2025-12,0.859424683871922,False,faith,信仰精神
urn for ashes for women,16332.0,146851.0,21919.0,12,2025-01,2025-12,6.12808246483285,False,ashes,纪念哀悼
prayer journal,16597.0,38663.0,28790.0,12,2025-01,2025-12,1.1180188861052225,False,prayer,信仰精神
tyler perry's divorce in the black,16681.0,136281.0,54541.5,12,2025-01,2025-12,4.908939692855209,False,divorce*,人生重启
love and friendship,18101.0,195261.0,138861.0,7,2025-01,2025-08,1.0733539294690373,False,friendship,关系联结
firefighter costume,18193.0,98557.0,58375.0,2,2025-09,2025-10,,False,firefighter,军警职业
bad faith,18254.0,155919.0,104835.0,10,2025-01,2025-10,4.077500341110657,False,faith,信仰精神
retirement card,18305.0,69840.0,43440.0,12,2025-01,2025-12,1.4794960014878185,False,retirement,成就节点
king of ashes,18419.0,94349.0,42893.0,8,2025-05,2025-12,2.0736459147937847,False,ashes,纪念哀悼
divorced sistas,19636.0,142478.0,57386.0,3,2025-06,2025-08,,False,divorce*,人生重启
saint patricks day outfit women,20189.0,23033.0,21611.0,2,2025-02,2025-03,,False,saint,信仰精神
down syndrome awareness shirts,20710.0,188857.0,104783.5,2,2025-03,2025-10,,False,awareness,疾病康复
yves saint laurent cologne for men,21247.0,44575.0,33494.0,12,2025-01,2025-12,0.6608044409350848,False,saint,信仰精神
autism awareness,22145.0,92713.0,36487.0,3,2025-02,2025-04,,False,awareness,疾病康复
mental health awareness items,22197.0,116295.0,25834.0,3,2025-03,2025-05,,False,awareness;mental health,心理健康;疾病康复
crown of light and ashes,22371.0,140028.0,42208.0,6,2025-06,2025-12,0.40350452281414867,False,ashes,纪念哀悼
suicide awareness shirt,22810.0,185863.0,131233.0,4,2025-03,2025-10,,False,awareness,疾病康复
vestidos de 15 años quinceañera,22824.0,95866.0,33792.5,8,2025-04,2025-12,1.5602084083917633,False,quincea*,身份仪式
retirement decorations,25300.0,80455.0,47456.5,12,2025-01,2025-12,1.5867764993026499,False,retirement,成就节点
toddler firefighter costume,26167.0,176418.0,58211.0,3,2025-08,2025-10,,False,firefighter,军警职业
divorced,26662.0,161426.0,60257.0,3,2025-06,2025-08,,False,divorce*,人生重启
yves saint laurent,27033.0,86484.0,63472.5,12,2025-01,2025-12,1.8666839244110796,False,saint,信仰精神
the saint val kilmer,27463.0,27463.0,27463.0,1,2025-04,2025-04,,False,saint,信仰精神
kids police officer costume,27651.0,198890.0,166419.0,6,2025-02,2025-10,0.3469893165715301,False,police officer,军警职业
urns for human ashes adult man,30274.0,186011.0,40046.0,12,2025-01,2025-12,4.658482960791499,False,ashes,纪念哀悼
baptism decorations,30732.0,141826.0,40215.5,12,2025-01,2025-12,1.8942782055419798,False,baptism,身份仪式
prayer board supplies,31207.0,104003.0,91232.5,6,2025-01,2025-12,0.9981711857724823,False,prayer,信仰精神
divorced sisters tyler perry,31342.0,181858.0,40081.0,3,2025-07,2025-09,,False,divorce*,人生重启
killing faith,31350.0,118945.0,80992.0,3,2025-10,2025-12,,False,faith,信仰精神
faith based,32004.0,140847.0,48336.5,12,2025-01,2025-12,2.5820960698689954,False,faith,信仰精神
prayer board supplies for women,32157.0,140265.0,73149.0,3,2025-01,2025-03,,False,prayer,信仰精神
saint patricks day shirt women,32386.0,138060.0,85223.0,2,2025-02,2025-03,,False,saint,信仰精神
sympathy cards with envelopes,32554.0,64887.0,45260.5,12,2025-01,2025-12,1.441783768282191,False,sympathy,纪念哀悼
long distance robot,32727.0,173446.0,111868.0,7,2025-06,2025-12,2.351200099490113,False,long distance,关系联结
police officer costume,33386.0,132109.0,82747.5,2,2025-09,2025-10,,False,police officer,军警职业
evil eye,33856.0,48149.0,36925.0,12,2025-01,2025-12,1.3407997298590202,False,evil eye,信仰精神
mental health journal,33926.0,75996.0,64256.0,12,2025-01,2025-12,1.5743518450769494,False,mental health,心理健康
mother daughter matching dresses,34718.0,199531.0,100459.0,8,2025-02,2025-09,3.427531129931001,False,mother daughter,关系联结
autism awareness stuff,35087.0,189714.0,48332.0,3,2025-03,2025-05,,False,awareness,疾病康复
faith over fear shirt,35269.0,172374.0,63020.0,12,2025-01,2025-12,0.6336316788717115,False,faith,信仰精神
divorce sistas tyler perry,36080.0,106368.0,71224.0,2,2025-06,2025-07,,False,divorce*,人生重启
matching couples pajamas,36110.0,172237.0,121659.0,5,2025-02,2025-12,,False,matching couple*,关系联结
sweet 16,36699.0,102279.0,50918.0,12,2025-01,2025-12,1.6982348320317915,False,sweet 16,身份仪式
faith shirts for women,36864.0,133201.0,73833.0,11,2025-02,2025-12,0.6518642480749883,False,faith,信仰精神
faith based movies on prime,37702.0,131319.0,46002.0,3,2025-01,2025-03,,False,faith,信仰精神
divorce,38122.0,161779.0,81916.0,12,2025-01,2025-12,1.330634651080131,False,divorce*,人生重启
keeping faith,38379.0,149446.0,93912.5,2,2025-09,2025-10,,False,faith,信仰精神
prayer board,38440.0,177015.0,145325.0,12,2025-01,2025-12,1.4064282418542553,False,prayer,信仰精神
the saint penelope sky,39268.0,197924.0,71894.0,3,2025-03,2025-05,,False,saint,信仰精神
breast cancer awareness socks,39754.0,66796.0,53275.0,2,2025-09,2025-10,,False,awareness,疾病康复
proud mom of a 2025 graduate shirt,40104.0,118312.0,79208.0,2,2025-04,2025-05,,False,graduate,成就节点
saint,40130.0,132926.0,95302.0,12,2025-01,2025-12,1.43763413359428,False,saint,信仰精神
the graduate,40519.0,181408.0,104273.0,11,2025-01,2025-11,1.3711484863046612,False,graduate,成就节点
girls police officer costume,41644.0,148978.0,95311.0,2,2025-09,2025-10,,False,police officer,军警职业
urns for human ashes adult female,42602.0,101708.0,57810.5,12,2025-01,2025-12,1.9101140488412551,False,ashes,纪念哀悼
finding faith,42782.0,186659.0,145842.0,3,2025-08,2025-10,,False,faith,信仰精神
prayer rug,43158.0,171753.0,158575.0,12,2025-01,2025-12,2.665308798052161,False,prayer,信仰精神
saint patricks day,43306.0,99220.0,71263.0,2,2025-02,2025-03,,False,saint,信仰精神
happy retirement decorations,43324.0,114573.0,78569.0,12,2025-01,2025-12,1.4554969255592864,False,retirement,成就节点
childhood cancer awareness shirts,44587.0,44587.0,44587.0,1,2025-09,2025-09,,False,awareness,疾病康复
mental health stickers,45340.0,119860.0,58295.0,12,2025-01,2025-12,1.6051618661559344,False,mental health,心理健康
police officer costume women sexy,46114.0,46114.0,46114.0,1,2025-10,2025-10,,False,police officer,军警职业
will the pigeon graduate,46157.0,168775.0,76211.5,4,2025-03,2025-06,,False,graduate,成就节点
matching couples stuff,46927.0,171434.0,134793.0,12,2025-01,2025-12,1.6619292796051233,False,matching couple*,关系联结
faith,47401.0,98936.0,62054.5,12,2025-01,2025-12,1.7081086124848373,False,faith,信仰精神
breast cancer awareness pins,47803.0,92510.0,70156.5,2,2025-09,2025-10,,False,awareness,疾病康复
king of ashes s.a. cosby,49341.0,198190.0,106839.0,6,2025-05,2025-12,1.6786770187932232,False,ashes,纪念哀悼
perfect divorce,50313.0,197547.0,133545.0,5,2025-04,2025-08,,False,divorce*,人生重启
yves saint laurent perfume for women,50744.0,115560.0,94235.0,12,2025-01,2025-12,0.7754320869185085,False,saint,信仰精神
congratulations graduate banner,51019.0,110502.0,80760.5,2,2025-05,2025-06,,False,graduate,成就节点
divorced siestas,51539.0,137389.0,94464.0,2,2025-06,2025-07,,False,divorce*,人生重启
friendship movie,52142.0,150773.0,100753.5,4,2025-06,2025-09,,False,friendship,关系联结
long distance walkie talkies,52282.0,126634.0,101389.5,12,2025-01,2025-12,1.0943643935562324,False,long distance,关系联结
awareness anthony de mello,52340.0,129623.0,102253.5,4,2025-05,2025-12,,False,awareness,疾病康复
cancer awareness shirts,52666.0,123758.0,88212.0,2,2025-09,2025-10,,False,awareness,疾病康复
sympathy card,53338.0,91890.0,66454.0,12,2025-01,2025-12,1.4347462306932848,False,sympathy,纪念哀悼
baptism outfits for boys,54554.0,124201.0,60997.0,12,2025-01,2025-12,1.906742841503883,False,baptism,身份仪式
confirmation decorations,55131.0,178799.0,73060.0,4,2025-02,2025-05,,False,confirmation,身份仪式
dog urns for ashes,55279.0,140633.0,76758.0,12,2025-01,2025-12,2.287736725626341,False,ashes,纪念哀悼
baptism dresses for baby girls,55412.0,175913.0,72608.0,12,2025-01,2025-12,2.8551218142245314,False,baptism,身份仪式
friendship lamp,55570.0,169370.0,121640.5,4,2025-01,2025-12,,False,friendship,关系联结
suicide prevention awareness,56067.0,122397.0,89232.0,2,2025-08,2025-09,,False,awareness,疾病康复
toddler police officer costume,56403.0,110215.0,83309.0,2,2025-09,2025-10,,False,police officer,军警职业
firefighter pants,57908.0,57908.0,57908.0,1,2025-10,2025-10,,False,firefighter,军警职业
an ember in the ashes,58084.0,106318.0,70615.0,12,2025-01,2025-12,1.6406875363281574,False,ashes,纪念哀悼
prayer cards,58171.0,88695.0,65926.0,12,2025-01,2025-12,0.9533031344054966,False,prayer,信仰精神
legacy of ashes,58342.0,58342.0,58342.0,1,2025-07,2025-07,,False,ashes,纪念哀悼
matching couples swimsuits,58503.0,108290.0,104648.0,5,2025-03,2025-07,,False,matching couple*,关系联结
saint maud,58828.0,188008.0,105232.5,10,2025-01,2025-11,1.4739292067448524,False,saint,信仰精神
i dont have enough faith to be an atheist,58921.0,148212.0,129440.0,4,2025-09,2025-12,,False,faith,信仰精神
recuerdos para 15 a?os quincea?eras,59187.0,73725.0,67076.0,4,2025-01,2025-07,,False,quincea*,身份仪式
autism awareness shirt kids,59576.0,80514.0,70045.0,2,2025-03,2025-04,,False,awareness,疾病康复
sexy firefighter costumes for women,59905.0,59905.0,59905.0,1,2025-10,2025-10,,False,firefighter,军警职业
firefighter hat adult,60130.0,60130.0,60130.0,1,2025-10,2025-10,,False,firefighter,军警职业
confirmation card,60610.0,138546.0,63412.0,3,2025-03,2025-05,,False,confirmation,身份仪式
get lost in prayer before you start overthinking,61203.0,61203.0,61203.0,1,2025-03,2025-03,,False,prayer,信仰精神
mens firefighter costume,61694.0,61694.0,61694.0,1,2025-10,2025-10,,False,firefighter,军警职业
divorce insurance,61903.0,110323.0,86113.0,2,2025-03,2025-04,,False,divorce*,人生重启
happy retirement banner,61923.0,185008.0,131465.5,12,2025-01,2025-12,1.3021270620232956,False,retirement,成就节点
firefighter swipe tool,61987.0,164864.0,113425.5,2,2025-08,2025-09,,False,firefighter,军警职业
catholic prayer book,62561.0,110041.0,86638.5,12,2025-01,2025-12,0.9826877967847131,False,prayer,信仰精神
mental health shirt,63358.0,131903.0,89501.0,9,2025-02,2025-10,0.7385727533770572,False,mental health,心理健康
father son matching shirts,63790.0,108858.0,86324.0,2,2025-05,2025-06,,False,father son,关系联结
retirement banner,64199.0,186012.0,123810.5,12,2025-01,2025-12,1.1864095869317801,False,retirement,成就节点
firefighter tools,64298.0,133681.0,95773.0,12,2025-01,2025-12,1.186265560165975,False,firefighter,军警职业
covered and armed prayer book,64999.0,116791.0,66311.0,3,2025-08,2025-10,,False,prayer,信仰精神
prayer bowl,65232.0,136662.0,100947.0,2,2025-11,2025-12,,False,prayer,信仰精神
vestido de 15 años quinceañera,66034.0,153139.0,84317.0,7,2025-04,2025-11,1.2827936673398919,False,quincea*,身份仪式
vestido de 15 a?os quincea?era,66139.0,78205.0,74897.5,4,2025-01,2025-07,,False,quincea*,身份仪式
retirement card for woman,66149.0,165317.0,124054.5,12,2025-01,2025-12,1.2722997256572968,False,retirement,成就节点
a carpenters prayer,67600.0,114307.0,90953.5,2,2025-03,2025-04,,False,prayer,信仰精神
broken saint,68183.0,68183.0,68183.0,1,2025-01,2025-01,,False,saint,信仰精神
cremation urns for human ashes,69573.0,171631.0,83447.0,11,2025-01,2025-11,2.0056849913364743,False,ashes;cremation,纪念哀悼
recuerdos para 15 años quinceañeras,69628.0,141350.0,74833.0,7,2025-04,2025-11,1.3717496945068062,False,quincea*,身份仪式
her saint harmony west,70061.0,70061.0,70061.0,1,2025-04,2025-04,,False,saint,信仰精神
cremation urns,70789.0,182317.0,117312.0,10,2025-03,2025-12,0.6393321028754765,False,cremation,纪念哀悼
the great divorce cs lewis,70877.0,181107.0,131236.5,12,2025-01,2025-12,0.8660925209625918,False,divorce*,人生重启
saint costume kids,70910.0,70910.0,70910.0,1,2025-10,2025-10,,False,saint,信仰精神
breast cancer awareness shirt men,70910.0,70910.0,70910.0,1,2025-10,2025-10,,False,awareness,疾病康复
long distance vibrator,72320.0,108392.0,97192.0,9,2025-01,2025-09,1.1381329336268677,False,long distance,关系联结
retirement,72687.0,183696.0,111378.0,12,2025-01,2025-12,1.5691517975182123,False,retirement,成就节点
quinceanera decorations,72809.0,147696.0,97506.5,10,2025-01,2025-10,1.624207484902844,False,quincea*,身份仪式
my little pony:friendship is magic,73428.0,197490.0,108427.5,6,2025-01,2025-08,1.073373115700384,False,friendship,关系联结
baptism favors,73463.0,199112.0,109371.0,11,2025-01,2025-11,0.545941224247935,False,baptism,身份仪式
breast cancer awareness sweatshirt,74157.0,163456.0,118806.5,2,2025-09,2025-10,,False,awareness,疾病康复
awareness,74379.0,158062.0,131600.0,6,2025-06,2025-12,0.9114910495738594,False,awareness,疾病康复
mini urns for human ashes,74743.0,129785.0,87822.0,12,2025-01,2025-12,1.4817764511112226,False,ashes,纪念哀悼
anointing oil for prayer,75052.0,123551.0,88442.0,12,2025-01,2025-12,1.3514960229374768,False,prayer,信仰精神
firefighter,75687.0,171058.0,141831.5,12,2025-01,2025-12,0.7374733915119905,False,firefighter,军警职业
prayer book,76271.0,117791.0,100964.5,12,2025-01,2025-12,1.1455398064844677,False,prayer,信仰精神
cancer awareness items,76604.0,156976.0,116790.0,2,2025-09,2025-10,,False,awareness,疾病康复
domestic violence awareness shirt,76604.0,76604.0,76604.0,1,2025-10,2025-10,,False,awareness,疾病康复
muslim prayer rug,76945.0,97585.0,87265.0,2,2025-02,2025-03,,False,prayer,信仰精神
prayer journal for men,77552.0,196558.0,163034.0,9,2025-01,2025-12,1.0347751578813749,False,prayer,信仰精神
advice for the graduate 2025,77950.0,172442.0,147999.0,3,2025-04,2025-06,,False,graduate,成就节点
prayer shawl,78213.0,189222.0,140390.0,9,2025-01,2025-12,0.5218015881916297,False,prayer,信仰精神
sweet 16 cake topper,78636.0,190324.0,89970.0,12,2025-01,2025-12,1.846880316221355,False,sweet 16,身份仪式
sweet 16 dresses,81089.0,186546.0,119933.0,11,2025-01,2025-11,1.646013504139111,False,sweet 16,身份仪式
usa faith wear,81115.0,99995.0,90555.0,2,2025-11,2025-12,,False,faith,信仰精神
baptism dress for women,81164.0,166454.0,98067.5,10,2025-01,2025-10,0.9512853799285531,False,baptism,身份仪式
confirmation dresses,81390.0,165553.0,109409.0,4,2025-01,2025-04,,False,confirmation,身份仪式
prayer quilt with cross inside,81469.0,195875.0,172065.5,10,2025-01,2025-12,1.1765980938704454,False,prayer,信仰精神
purity coffee beans,81769.0,155398.0,118583.5,2,2025-10,2025-12,,False,purity,承诺誓约
sweet 16 decorations,81805.0,168054.0,133124.0,11,2025-01,2025-11,0.9678966115626998,False,sweet 16,身份仪式
firefighter accessories,82669.0,155560.0,109491.0,12,2025-01,2025-12,1.2172349145448205,False,firefighter,军警职业
friendship ornaments for women friends,82711.0,144365.0,113538.0,2,2025-11,2025-12,,False,friendship,关系联结
long distance,83634.0,194113.0,185207.0,5,2025-01,2025-12,,False,long distance,关系联结
small urns for human ashes,83792.0,118520.0,101406.0,12,2025-01,2025-12,0.7876806915599556,False,ashes,纪念哀悼
firefighter suspenders,84211.0,84211.0,84211.0,1,2025-10,2025-10,,False,firefighter,军警职业
divorce sistas,84843.0,155353.0,120098.0,2,2025-06,2025-07,,False,divorce*,人生重启
mens breast cancer awareness shirt,85334.0,85334.0,85334.0,1,2025-10,2025-10,,False,awareness,疾病康复
her saint,85335.0,165632.0,136630.5,4,2025-01,2025-04,,False,saint,信仰精神
on a wing and a prayer movie,85338.0,184589.0,130414.0,9,2025-01,2025-09,1.5247017290146956,False,prayer,信仰精神
police officer costume women,85639.0,85639.0,85639.0,1,2025-10,2025-10,,False,police officer,军警职业
matching couples christmas pajamas,85841.0,118346.0,102093.5,2,2025-11,2025-12,,False,matching couple*,关系联结
rosary in a year prayer guide ascension press,85883.0,160201.0,123042.0,2,2025-01,2025-02,,False,prayer,信仰精神
matching couple outfits,87141.0,177135.0,115090.0,7,2025-03,2025-09,1.0235554783213137,False,matching couple*,关系联结
a prayer for owen meany by john irving,87371.0,198242.0,152822.0,9,2025-01,2025-12,0.963329887058146,False,prayer,信仰精神
the ashes and the star cursed king,87620.0,181325.0,120164.0,9,2025-01,2025-09,1.4089498457736316,False,ashes,纪念哀悼
faith over fear,87880.0,198457.0,128670.5,10,2025-01,2025-12,0.8205657539292731,False,faith,信仰精神
divorced sisters,88301.0,145384.0,116842.5,2,2025-06,2025-07,,False,divorce*,人生重启
mental health,88462.0,141306.0,118526.5,12,2025-01,2025-12,1.3739902558370067,False,mental health,心理健康
breast cancer awareness shirts,88472.0,103752.0,96112.0,2,2025-09,2025-10,,False,awareness,疾病康复
police officer costume for women,88877.0,88877.0,88877.0,1,2025-10,2025-10,,False,police officer,军警职业
divorce sisters,89240.0,190325.0,100255.0,3,2025-06,2025-08,,False,divorce*,人生重启
womens firefighter costume,89240.0,89240.0,89240.0,1,2025-10,2025-10,,False,firefighter,军警职业
mother daughter journal,89569.0,162570.0,120672.0,7,2025-01,2025-12,1.3043352107868238,False,mother daughter,关系联结
up faith and family,90513.0,170769.0,148398.0,9,2025-01,2025-12,1.1198466286607636,False,faith,信仰精神
suicide prevention awareness shirt,90576.0,90576.0,90576.0,1,2025-09,2025-09,,False,awareness,疾病康复
kids firefighter costume,90902.0,90902.0,90902.0,1,2025-10,2025-10,,False,firefighter,军警职业
myself yves saint laurent men,91827.0,197181.0,171560.0,7,2025-05,2025-12,0.7745220331079505,False,saint,信仰精神
boys police officer costume,92843.0,92843.0,92843.0,1,2025-10,2025-10,,False,police officer,军警职业
the case for faith,92877.0,92877.0,92877.0,1,2025-09,2025-09,,False,faith,信仰精神
vera or faith,93159.0,93159.0,93159.0,1,2025-07,2025-07,,False,faith,信仰精神
matching couple costumes,93362.0,93362.0,93362.0,1,2025-10,2025-10,,False,matching couple*,关系联结
domestic violence awareness items,94032.0,172209.0,133120.5,2,2025-09,2025-10,,False,awareness,疾病康复
suicide awareness items,94423.0,94423.0,94423.0,1,2025-09,2025-09,,False,awareness,疾病康复
evil eye decor,94595.0,163408.0,106935.5,12,2025-01,2025-12,1.362803218784015,False,evil eye,信仰精神
tax planning to and through early retirement,94676.0,168768.0,131722.0,2,2025-09,2025-10,,False,retirement,成就节点
sexy police officer costumes for women,95092.0,95092.0,95092.0,1,2025-10,2025-10,,False,police officer,军警职业
baptism card,95994.0,184007.0,132104.0,11,2025-01,2025-11,0.6316434834942938,False,baptism,身份仪式
surviving an unwanted divorce,96098.0,96098.0,96098.0,1,2025-11,2025-11,,False,divorce*,人生重启
heartland on up faith and family channel,96391.0,122373.0,103545.0,3,2025-05,2025-07,,False,faith,信仰精神
prayer jar,97105.0,192974.0,143402.0,3,2025-01,2025-12,,False,prayer,信仰精神
the friendship bench,97156.0,97156.0,97156.0,1,2025-02,2025-02,,False,friendship,关系联结
faith over fear sweatshirt,97242.0,97242.0,97242.0,1,2025-01,2025-01,,False,faith,信仰精神
saint patricks day shirt men,98224.0,98224.0,98224.0,1,2025-03,2025-03,,False,saint,信仰精神
urns for ashes,99296.0,183878.0,132391.0,11,2025-01,2025-11,1.1920676402767103,False,ashes,纪念哀悼
athan clock for prayer with sound,100284.0,193885.0,177368.0,3,2025-01,2025-03,,False,prayer,信仰精神
firefighter helmet,100973.0,100973.0,100973.0,1,2025-10,2025-10,,False,firefighter,军警职业
urn for ashes,100974.0,149688.0,131182.5,12,2025-01,2025-12,1.2487307032590051,False,ashes,纪念哀悼
the dangers of a shallow faith,101714.0,101714.0,101714.0,1,2025-09,2025-09,,False,faith,信仰精神
sympathy cards for loss of loved one,101809.0,192865.0,142050.0,11,2025-01,2025-11,1.3233242859453922,False,sympathy,纪念哀悼
purity face wash,102259.0,149517.0,132231.5,12,2025-01,2025-12,1.2024915101531637,False,purity,承诺誓约
orthodox prayer book,103482.0,144025.0,123551.5,12,2025-01,2025-12,0.8046859780311999,False,prayer,信仰精神
friendship ornament,103791.0,103791.0,103791.0,1,2025-12,2025-12,,False,friendship,关系联结
divorce insurance kdrama,104517.0,104517.0,104517.0,1,2025-04,2025-04,,False,divorce*,人生重启
friendship lamps,104794.0,126896.0,115845.0,2,2025-11,2025-12,,False,friendship,关系联结
firefighter costume adult,105627.0,105627.0,105627.0,1,2025-10,2025-10,,False,firefighter,军警职业
baby boy baptism outfit,106443.0,135300.0,122471.0,10,2025-01,2025-10,0.9905521442769655,False,baptism,身份仪式
book of common prayer,106557.0,150691.0,121415.0,12,2025-01,2025-12,1.115448003818547,False,prayer,信仰精神
prayer box,107307.0,187529.0,142396.0,12,2025-01,2025-12,0.9748132071689741,False,prayer,信仰精神
saint patricks day hat,107658.0,107658.0,107658.0,1,2025-03,2025-03,,False,saint,信仰精神
faith of angels movie 2024,107954.0,117333.0,112331.0,3,2025-03,2025-06,,False,faith,信仰精神
firefighter shirt,108885.0,108885.0,108885.0,1,2025-10,2025-10,,False,firefighter,军警职业
a question of faith,109211.0,170601.0,139906.0,2,2025-01,2025-02,,False,faith,信仰精神
mental health office decor,109225.0,188570.0,164977.0,3,2025-07,2025-09,,False,mental health,心理健康
alzheimers awareness shirts,109923.0,164646.0,137284.5,2,2025-09,2025-10,,False,awareness,疾病康复
mental health mood journal,110035.0,110035.0,110035.0,1,2025-12,2025-12,,False,mental health,心理健康
the retirement plan,110130.0,182329.0,146229.5,2,2025-05,2025-06,,False,retirement,成就节点
down syndrome awareness,110139.0,110139.0,110139.0,1,2025-03,2025-03,,False,awareness,疾病康复
prayer journal for teen girls,110175.0,110175.0,110175.0,1,2025-12,2025-12,,False,prayer,信仰精神
divorce in black,110314.0,139657.0,124985.5,2,2025-02,2025-03,,False,divorce*,人生重启
prayer plant,110550.0,198733.0,171024.0,6,2025-03,2025-09,1.2100232707580778,False,prayer,信仰精神
faking it with the firefighter,110658.0,110658.0,110658.0,1,2025-06,2025-06,,False,firefighter,军警职业
graduate yard sign 2025,111545.0,111545.0,111545.0,1,2025-05,2025-05,,False,graduate,成就节点
walking by faith tripping constantly t shirt,112065.0,112065.0,112065.0,1,2025-06,2025-06,,False,faith,信仰精神
app controlled vibrator long distance,112099.0,138010.0,125054.5,2,2025-11,2025-12,,False,long distance,关系联结
divorce in the black,112208.0,156273.0,134240.5,2,2025-02,2025-03,,False,divorce*,人生重启
faith wardrobe,112709.0,112709.0,112709.0,1,2025-09,2025-09,,False,faith,信仰精神
mental health awareness,113455.0,150817.0,132136.0,2,2025-04,2025-05,,False,awareness;mental health,心理健康;疾病康复
breast cancer awareness stickers,114617.0,155699.0,135158.0,2,2025-09,2025-10,,False,awareness,疾病康复
retirement decorations for women,114973.0,188336.0,163259.0,5,2025-02,2025-06,,False,retirement,成就节点
faith sweatshirts for women,115015.0,181731.0,165654.5,4,2025-09,2025-12,,False,faith,信仰精神
mental health posters,115474.0,115474.0,115474.0,1,2025-08,2025-08,,False,mental health,心理健康
prayer journal for women,116609.0,176687.0,127299.0,3,2025-01,2025-12,,False,prayer,信仰精神
ashes for ash wednesday,117057.0,117057.0,117057.0,1,2025-02,2025-02,,False,ashes,纪念哀悼
prayer quilt,117488.0,184447.0,148212.0,3,2025-09,2025-12,,False,prayer,信仰精神
lovense bluetooth viboators women long distance,117781.0,173141.0,134273.0,5,2025-08,2025-12,,False,long distance,关系联结
friendship blu ray,118035.0,118035.0,118035.0,1,2025-08,2025-08,,False,friendship,关系联结
proud dad of a 2025 graduate shirt,118136.0,118136.0,118136.0,1,2025-05,2025-05,,False,graduate,成就节点
