term,spike_month,spike_rank,median_rank,improve_ratio,is_category
hypoallergenic earrings,2025-12,12846,39074.5,0.671,True
charm city kings (2021),2025-03,12902,58647.0,0.78,True
bracelet maker,2025-12,12914,52873.5,0.756,True
earring backs for droopy ears,2025-12,12920,35840.5,0.64,True
permanent bracelet kit,2025-02,13006,85391.5,0.848,True
copper bracelets for women,2025-10,13284,34162.5,0.611,True
precision rings ps5,2025-04,13386,28763.5,0.535,True
southern charm,2025-02,13458,36127.0,0.627,True
gold waist chain,2025-10,13475,58312.5,0.769,True
mens cross necklaces,2025-12,13605,31878.5,0.573,True
copper bracelet for men,2025-08,13625,27280.5,0.501,True
copper bracelets for women,2025-09,13666,34162.5,0.6,True
snow chains for car tires,2025-01,13720,33633.0,0.592,True
shoe charms for sneakers,2025-08,13956,64543.5,0.784,True
kendra scott jewelry,2025-12,13973,57203.0,0.756,True
gold chain belt,2025-09,14008,30987.0,0.548,True
womens earrings,2025-12,14202,31628.5,0.551,True
girls jewelry box,2025-12,14308,69391.0,0.794,True
womens jewelry,2025-12,14321,41282.0,0.653,True
pandora charms for women,2025-12,14342,32403.0,0.557,True
necklace extender,2025-10,14407,34106.5,0.578,True
bow earrings,2025-01,14441,39244.0,0.632,True
heart earrings for women,2025-01,14441,131850.0,0.89,True
mini travel jewelry bag,2025-11,14471,90614.0,0.84,True
pavoi rings,2025-01,14479,29996.5,0.517,True
fahlo animal tracking bracelet,2025-12,14528,52433.0,0.723,True
best selling purse charms,2025-07,14584,30336.5,0.519,True
jewelry sets for women,2025-12,14599,33149.5,0.56,True
locket necklace,2025-12,14671,82573.0,0.822,True
charm bracelets for women,2025-12,14833,32912.0,0.549,True
starfish earrings,2025-06,14936,33341.5,0.552,True
copper bracelet,2025-02,15207,31414.0,0.516,True
clip on earrings for girls,2025-12,15231,43771.0,0.652,True
baseball necklaces for boys,2025-03,15316,48070.5,0.681,True
bug repellent bracelets,2025-06,15357,60723.0,0.747,True
women's necklaces,2025-12,15390,78052.5,0.803,True
necklace for women,2025-12,15422,47040.5,0.672,True
shoe charms,2025-08,15645,35120.0,0.555,True
magnetic necklace clasps and closures,2025-08,15722,45781.5,0.657,True
heart necklaces for women,2025-02,15857,68472.5,0.768,True
beaded necklace,2025-07,16055,42722.0,0.624,True
jewelry cleaner ultrasonic machine,2025-10,16057,32469.5,0.505,True
friendship bracelet string,2025-06,16076,48566.0,0.669,True
crochet ring,2025-01,16112,51141.0,0.685,True
ring conn,2025-11,16200,65150.0,0.751,True
football earrings,2025-09,16216,88423.0,0.817,True
charm bracelet making kit,2025-02,16250,36739.0,0.558,True
baseball necklaces for boys,2025-06,16404,48070.5,0.659,True
pandora necklace,2025-12,16532,37398.0,0.558,True
rolling pin with thickness rings,2025-12,16584,67833.5,0.756,True
cross necklace for boys,2025-12,16639,60116.0,0.723,True
girls jewelry box,2025-11,16720,69391.0,0.759,True
rain chains for gutters,2025-05,16885,41914.0,0.597,True
anklets for women waterproof,2025-06,17008,53717.5,0.683,True
bow earrings,2025-02,17061,39244.0,0.565,True
earrings for girls,2025-11,17115,35603.0,0.519,True
tiffany & co jewelry,2025-06,17310,45560.0,0.62,True
rose in chains,2025-08,17372,43672.0,0.602,True
christmas earrings,2025-10,17427,41366.0,0.579,True
small jewelry box,2025-12,17519,37435.0,0.532,True
hypoallergenic earrings,2025-11,17549,39074.5,0.551,True
charm bracelet making kit,2025-01,17563,36739.0,0.522,True
shell necklace,2025-06,17582,40449.5,0.565,True
mens jewelry box,2025-12,17739,52136.0,0.66,True
gold napkin rings,2025-11,17853,51415.5,0.653,True
jewelry boxes,2025-12,17917,40382.5,0.556,True
friendship bracelet string,2025-07,17924,48566.0,0.631,True
silver bracelets,2025-09,18014,39208.5,0.541,True
ring conn,2025-12,18065,65150.0,0.723,True
bracelet making kit for girls 8-12,2025-11,18153,52358.5,0.653,True
jewelry making kit for girls 8-12,2025-12,18153,137562.0,0.868,True
jewelry gift box,2025-12,18185,82786.5,0.78,True
kendra scott jewelry,2025-11,18370,57203.0,0.679,True
mirror jewelry cabinet standing,2025-12,18935,78885.0,0.76,True
bug repellent bracelets,2025-07,18955,60723.0,0.688,True
hypoallergenic earrings,2025-10,19283,39074.5,0.507,True
charms for pandora bracelets,2025-12,19354,45709.5,0.577,True
bubble letter necklace gold,2025-01,19405,42814.0,0.547,True
spinelli ring,2025-01,19531,59142.0,0.67,True
beaded necklace,2025-06,19754,42722.0,0.538,True
teacher earrings,2025-08,19763,70098.5,0.718,True
earring lifters,2025-12,19822,66880.5,0.704,True
women's earrings,2025-12,19855,94302.5,0.789,True
girls jewelry,2025-12,19951,105008.5,0.81,True
