x,n_terms,best_rank_median,best_rank_min,rep_terms
junk cases,1,36261.0,36261,charms for junk cases
pandora bracelets,1,19354.0,19354,charms for pandora bracelets
nails design,1,46942.0,46942,charms for nails design
bogg bag,1,160588.0,160588,charms for bogg bag
jeans,1,120936.0,120936,chains for jeans
tires,1,190188.0,190188,chains for tires
inside door,1,73056.0,73056,chain locks for inside door
hanging plants,1,128782.0,128782,chain for hanging plants
women fashion,1,41691.0,41691,chain belts for women fashion
adults bedroom,1,64545.0,64545,hand cuff set for adults bedroom
closet,1,173918.0,173918,hanging jewelry organizer for closet
women chunky,1,169651.0,169651,gold hoop earrings for women chunky
women braids,1,90540.0,90540,hair jewelry for women braids
arms,1,101708.0,101708,fur cuffs for arms
raised beds,1,62042.0,62042,garden hoops for raised beds
eyelash extensions,1,88007.0,88007,glue rings for eyelash extensions
women stack,1,195103.0,195103,gold bracelets for women stack
anxiety,1,126300.0,126300,fidget rings for anxiety
boating,1,102744.0,102744,floating key chain for boating
dad,1,100692.0,100692,fathers day bracelet for dad
earring,1,78179.0,78179,earring gift box
women elegant,1,181128.0,181128,jewelry sets for women elegant
home,1,193513.0,193513,jewelry safes for home
drawer,1,80913.0,80913,jewelry organizer for drawer
neck,1,63445.0,63445,ice ring for neck
best friends,1,196103.0,196103,matching bracelets for best friends
backpacks,1,121287.0,121287,key chains for backpacks
girls hypoallergenic,1,178172.0,178172,kids earrings for girls hypoallergenic
girlfriend,1,71587.0,71587,necklace for girlfriend
women hoop,1,194370.0,194370,nose rings for women hoop
women studs,1,174149.0,174149,pearl earrings for women studs
grandma,1,190207.0,190207,necklace for grandma
layering,1,72300.0,72300,necklace separator for layering
changing jewelry,1,184362.0,184362,piercing tools for changing jewelry
kids bulk,1,107817.0,107817,pencil charms for kids bulk
sensitive ears,1,145810.0,145810,plastic earrings for sensitive ears
adults women,1,51071.0,51071,jewelry making kits for adults women
phone,1,193199.0,193199,magnetic ring for phone
birthday,1,199689.0,199689,jewelry birthday gifts for women
earrings,1,180609.0,180609,jewelry box for earrings
all jewelry,1,68049.0,68049,jewelry cleaner for all jewelry
play pen,1,193967.0,193967,pull up rings for play pen
curly hair,1,110462.0,110462,puff cuff for curly hair
kids diving,1,105119.0,105119,pool rings for kids diving
braces,1,134133.0,134133,power chain for braces
surgery,1,157885.0,157885,plastic nose rings for surgery
gutters,1,16885.0,16885,rain chains for gutters
bearer,1,90509.0,90509,ring bearer gifts
outside,1,30519.0,30519,rain chains for outside
measuring,1,110753.0,110753,ring sizers for measuring
humans,1,98174.0,98174,ring worm medication for humans
iphone,1,50466.0,50466,scrolling ring for iphone
curtain,1,70968.0,70968,shower rings for curtain
engagement rings,1,142644.0,142644,ring enhancer for engagement rings
ring,1,188199.0,188199,ring gift box
gym,1,162105.0,162105,ring protector for gym
proposal,1,70430.0,70430,ring box for proposal
weight loss,1,162197.0,162197,slimming earrings for weight loss
women prom,1,173717.0,173717,silver necklace for women prom
women jewelry,1,109581.0,109581,silver accessories for women jewelry
o rings,1,185888.0,185888,silicone grease for o rings
small,1,126618.0,126618,small gift boxes for jewelry
clothing,1,99242.0,99242,studs for clothing
graduation cap,1,181749.0,181749,tassel charms for graduation cap
car tires,1,13720.0,13720,snow chains for car tires
crocheting,1,71933.0,71933,tension rings for crocheting
cars,1,61222.0,61222,tire chains for cars
her jewelry,1,120232.0,120232,valentines day gifts for her jewelry boxes
bathroom wall,1,120462.0,120462,towel rings for bathroom wall
toilet,1,110672.0,110672,wax ring for toilet
ceremony,1,146949.0,146949,wedding ring boxes for ceremony
stem glasses,1,92246.0,92246,wine charms for stem glasses
action figures,1,134088.0,134088,wrestling ring for action figures
